"Species","Category","EU","AF","EF"
"PITA","DBH",23.07,8.37,24.26
"PITA","H",6.26,0,6.27
"PITA","Biomass_branch",0.31,0.75,0.12
"PITA","Biomass_foliage",0.89,0.28,0.9
"Stand","DBH",22.96,7.39,26.18
"Stand","H",5.76,0,5.86
"Stand","Biomass_branch",0.57,0.7,0.88
"Stand","Biomass_foliage",0.88,0.25,0.93
