"Year","Mean","SE"
1996,0.7966,1.0717
1997,1.3653,0.9048
2000,2.0493,0.9822
2001,1.9261,1.127
2004,2.5407,1.0999
2005,4.6487,0.6734
2006,4.9851,0.7522
2007,4.6449,0.7277
2008,4.4484,0.6819
2009,4.5532,0.7076
2010,5.1571,0.8271
