"Treatment","Species","Density_stemwood","Density_stemwood_SE","Density_stembark","Density_stembark_SE"
"AU","PITA",0.517,0.002,0.352,0.002
"EU","PITA",0.529,0.001,0.339,0.002
"AF","LIST",0.518,0.002,0.351,0.002
"EF","LIST",0.531,0.001,0.337,0.002
"AU","PITA",0.48,0.003,0.612,0.02
"EU","PITA",0.487,0.003,0.563,0.019
"AF","LIST",0.481,0.002,0.607,0.018
"EF","LIST",0.482,0.003,0.596,0.025
